apn,address,city,state,zip,property_type,mail_address,mail_city,mail_state,mail_zip,is_absentee,source
603122003,86105 Vista Del Sur,Coachella,CA,92236,SFD with Secondary Unit(s),86105 Vista Del Sur,Coachella,CA,92236,No,CREST — Coachella
603122004,86115 Vista Del Sur,Coachella,CA,92236,Single Family Dwelling,8484 Wilshire Blvd Unit 515,Beverly Hills,CA,90211,Yes,CREST — Coachella
603130012,86485 Vista Del Sur,Coachella,CA,92236,Single Family Dwelling,Po Box 526,Coachella,CA,92236,No,CREST — Coachella
603150018,86101 Avenue 47,Coachella,CA,92236,Single Family Dwelling,86101 Avenue 47,Coachella,CA,92236,No,CREST — Coachella
603250004,84500 Avenue 49,Coachella,CA,92236,Single Family Dwelling,84500 Avenue 49,Coachella,CA,92236,No,CREST — Coachella
603270022,49620 Avenida De Oro,Coachella,CA,92236,Apartment 5 - 10 Units,49620 Avenida De Oro,Coachella,CA,92236,No,CREST — Coachella
603281009,49998 Avenida De Oro,Coachella,CA,92236,Single Family Dwelling,51125 Calle Paloma,La Quinta,CA,92253,Yes,CREST — Coachella
603281019,84811 Via Conchilla,Coachella,CA,92236,Single Family Dwelling,51854 Calle Empalme,Coachella,CA,92236,No,CREST — Coachella
603281024,49818 Avenida De Platina,Coachella,CA,92236,Single Family Dwelling,49818 Avenida De Platina,Coachella,CA,92236,No,CREST — Coachella
603281025,49848 Avenida De Platina,Coachella,CA,92236,Single Family Dwelling,4900 Santa Anita Av No 2C,El Monte,CA,91731,Yes,CREST — Coachella
603281026,49878 Avenida De Platina,Coachella,CA,92236,Single Family Dwelling,49878 Avenida De Platina,Coachella,CA,92236,No,CREST — Coachella
603282009,49905 Avenida De Platina,Coachella,CA,92236,Single Family Dwelling,49905 Avenida De Platina,Coachella,CA,92236,No,CREST — Coachella
603282010,49935 Avenida De Platina,Coachella,CA,92236,Single Family Dwelling,49935 Avenida De Platina,Coachella,CA,92236,No,CREST — Coachella
603282012,49997 Avenida De Platina,Coachella,CA,92236,Single Family Dwelling,49997 Avenida De Platina,Coachella,CA,92236,No,CREST — Coachella
603102020,46425 Tyler St,Coachella,CA,92236,Single Family Dwelling,46425 Tyler St,Coachella,CA,92236,No,CREST — Coachella
603401006,49963 Avenida Del Parque,Coachella,CA,92236,Single Family Dwelling,82143 Primrose  Ave,Indio,CA,92201,Yes,CREST — Coachella
603402001,49838 Avenida Del Parque,Coachella,CA,92236,Single Family Dwelling,P O Box 103,Indio,CA,92201,Yes,CREST — Coachella
603402007,49938 Avenida Del Parque,Coachella,CA,92236,Single Family Dwelling,45811 Jessica Ct,Indio,CA,92201,Yes,CREST — Coachella
603410001,49661 Calle De Vega,Coachella,CA,92236,Single Family Dwelling,49661 Calle De Vega,Coachella,CA,92236,No,CREST — Coachella
603410003,49621 Calle De Vega,Coachella,CA,92236,Single Family Dwelling,49621 Calle De Vega,Coachella,CA,92236,No,CREST — Coachella
603410027,49760 Avenida Cortez,Coachella,CA,92236,Single Family Dwelling,49760 Avenida Cortez,Coachella,CA,92236,No,CREST — Coachella
603410028,49780 Avenida Cortez,Coachella,CA,92236,Single Family Dwelling,49780 Avenida Cortez,Coachella,CA,92236,No,CREST — Coachella
603410039,84601 Vera Cruz,Coachella,CA,92236,Single Family Dwelling,84601 Vera Cruz,Coachella,CA,92236,No,CREST — Coachella
603410040,332 Village Rd,Coachella,CA,92236,Single Family Dwelling,84591 Vera Cruz,Coachella,CA,92236,No,CREST — Coachella
603410042,84571 Vera Cruz,Coachella,CA,92236,Single Family Dwelling,84571 Vera Cruz,Coachella,CA,92236,No,CREST — Coachella
603410043,49521 Calle De Vega,Coachella,CA,92236,Single Family Dwelling,49521 Calle De Vega,Coachella,CA,92236,No,CREST — Coachella
603410044,84510 Calle Leon,Coachella,CA,92236,Single Family Dwelling,51140 Ave Ramirez,La Quinta,CA,92253,Yes,CREST — Coachella
603410045,84520 Calle Leon,Coachella,CA,92236,Single Family Dwelling,84520 Calle Leon,Coachella,CA,92236,No,CREST — Coachella
603410046,84530 Calle Leon,Coachella,CA,92236,Single Family Dwelling,84500 Via Durango,Coachella,CA,92236,No,CREST — Coachella
603410057,49580 Avenida Cortez,Coachella,CA,92236,Single Family Dwelling,49580 Avenida Cortez,Coachella,CA,92236,No,CREST — Coachella
603410058,49600 Avenida Cortez,Coachella,CA,92236,Single Family Dwelling,49600 Avenida Cortez,Coachella,CA,92236,No,CREST — Coachella
603410060,49640 Avenida Cortez,Coachella,CA,92236,Single Family Dwelling,49640 Avenida Cortez,Coachella,CA,92236,No,CREST — Coachella
603410061,49660 Avenida Cortez,Coachella,CA,92236,Single Family Dwelling,49660 Avenida Cortez,Coachella,CA,92236,No,CREST — Coachella
603410062,49680 Avenida Cortez,Coachella,CA,92236,Single Family Dwelling,49680 Avenida Cortez,Coachella,CA,92236,No,CREST — Coachella
603281004,49856 Avenida De Oro,Coachella,CA,92236,Single Family Dwelling,4900 Santa Anita  Ave # 2C,El Monte,CA,91731,Yes,CREST — Coachella
603281005,49884 Avenida De Oro,Coachella,CA,92236,Single Family Dwelling,8620 Pigeon Pass Rd,Moreno Valley,CA,92557,Yes,CREST — Coachella
603281006,49912 Avenida De Oro,Coachella,CA,92236,Single Family Dwelling,83908 Pacifica Sur,Indio,CA,92203,Yes,CREST — Coachella
603281011,49815 Avenida De Plata,Coachella,CA,92236,Single Family Dwelling,49815 Avenida De Plata,Coachella,CA,92236,No,CREST — Coachella
603281014,49905 Avenida De Plata,Coachella,CA,92236,Single Family Dwelling,81341 Avenida Tortuga,Indio,CA,92201,Yes,CREST — Coachella
603410063,49700 Avenida Cortez,Coachella,CA,92236,Single Family Dwelling,49700 Avenida Cortez,Coachella,CA,92236,No,CREST — Coachella
603410064,49720 Avenida Cortez,Coachella,CA,92236,Single Family Dwelling,49540 Nieto St,Coachella,CA,92286,No,CREST — Coachella
603411008,84510 Vera Cruz,Coachella,CA,92236,Single Family Dwelling,84510 Vera Cruz,Coachella,CA,92236,No,CREST — Coachella
603411009,84520 Vera Cruz,Coachella,CA,92236,Single Family Dwelling,84520 Vera Cruz,Coachella,CA,92236,No,CREST — Coachella
603411010,84530 Vera Cruz,Coachella,CA,92236,Single Family Dwelling,84530 Vera Cruz,Coachella,CA,92236,No,CREST — Coachella
603411012,84550 Vera Cruz,Coachella,CA,92236,Single Family Dwelling,84550 Vera Cruz,Coachella,CA,92236,No,CREST — Coachella
603411013,84560 Vera Cruz,Coachella,CA,92236,Single Family Dwelling,84560 Vera Cruz,Coachella,CA,92236,No,CREST — Coachella
603411014,84570 Vera Cruz,Coachella,CA,92236,Single Family Dwelling,Po Box 2563,Indio,CA,92203,Yes,CREST — Coachella
603411015,84580 Vera Cruz,Coachella,CA,92236,Single Family Dwelling,84580 Vera Cruz,Coachella,CA,92236,No,CREST — Coachella
603411016,84590 Vera Cruz,Coachella,CA,92236,Single Family Dwelling,50115 Paseo Madrid,Coachella,CA,92236,No,CREST — Coachella
603281015,49935 Avenida De Plata,Coachella,CA,92236,Single Family Dwelling,49935 Avenida De Plata,Coachella,CA,92236,No,CREST — Coachella
603281016,49965 Avenida De Plata,Coachella,CA,92236,Single Family Dwelling,49965 Avenida De Plata,Coachella,CA,92236,No,CREST — Coachella
603281020,84821 Via Conchilla,Coachella,CA,92236,Single Family Dwelling,84821 Via Conchilla,Coachella,CA,92236,No,CREST — Coachella
603281029,49968 Avenida De Platina,Coachella,CA,92236,Single Family Dwelling,49968 Avenida De Platina,Coachella,CA,92236,No,CREST — Coachella
603282004,49938 Avenida De Plata,Coachella,CA,92236,Single Family Dwelling,49938 Avenida De Plata,Coachella,CA,92236,No,CREST — Coachella
603282005,49968 Avenida De Plata,Coachella,CA,92236,Single Family Dwelling,49968 Avenida De Plata,Coachella,CA,92236,No,CREST — Coachella
603282006,49998 Avenida De Plata,Coachella,CA,92236,Single Family Dwelling,49998 Avenida De Plata,Coachella,CA,92236,No,CREST — Coachella
603411027,84500 Via Hermosa,Coachella,CA,92236,Single Family Dwelling,84500 Via Hermosa,Coachella,CA,92236,No,CREST — Coachella
603411028,84510 Via Hermosa,Coachella,CA,92236,Single Family Dwelling,84510 Via Hermosa,Coachella,CA,92236,No,CREST — Coachella
603411029,84520 Via Hermosa,Coachella,CA,92236,Single Family Dwelling,84520 Via Hermosa,Coachella,CA,92236,No,CREST — Coachella
603411037,84591 Via Durango,Coachella,CA,92236,Single Family Dwelling,84591 Via Durango,Coachella,CA,92236,No,CREST — Coachella
603411038,84581 Via Durango,Coachella,CA,92236,Single Family Dwelling,84581 Via Durango,Coachella,CA,92236,No,CREST — Coachella
603411039,84571 Via Durango,Coachella,CA,92236,Single Family Dwelling,84571 Via Durango,Coachella,CA,92236,No,CREST — Coachella
603411047,84500 Via Durango,Coachella,CA,92236,Single Family Dwelling,84500 Via Durango,Coachella,CA,92236,No,CREST — Coachella
603411048,84510 Via Durango,Coachella,CA,92236,Single Family Dwelling,84510 Via Durango,Coachella,CA,92236,No,CREST — Coachella
603411049,84520 Via Durango,Coachella,CA,92236,Single Family Dwelling,84520 Via Durango,Coachella,CA,92236,No,CREST — Coachella
