apn,address,city,state,zip,property_type,mail_address,mail_city,mail_state,mail_zip,is_absentee,source
638081001,9000 West Dr,Desert Hot Springs,CA,92240,Single Family Dwelling,227 Stedman Pl,Monrovia,CA,91016,Yes,CREST — Desert Hot Springs
638081004,9090 West Dr,Desert Hot Springs,CA,92240,Single Family Dwelling,9090 West Dr,Desert Hot Springs,CA,92240,No,CREST — Desert Hot Springs
638081005,9120 West Drive,Desert Hot Springs,CA,92240,Single Family Dwelling,2001 E Chevy Chase Dr Apt 106,Glendale,CA,91206,Yes,CREST — Desert Hot Springs
638081006,9150 West Dr,Desert Hot Springs,CA,92240,Single Family Dwelling,9150 West Dr,Desert Hot Springs,CA,92240,No,CREST — Desert Hot Springs
638081008,9210 West Dr,Desert Hot Springs,CA,92240,Single Family Dwelling,22400 N Summit Ridge Cir,Chatsworth,CA,91311,Yes,CREST — Desert Hot Springs
638081014,9123 Calle Barranca,Desert Hot Springs,CA,92240,Single Family Dwelling,1601 W Mac Arthur,Santa Ana,CA,92704,Yes,CREST — Desert Hot Springs
638081015,9095 Calle Barranca,Desert Hot Springs,CA,92240,Single Family Dwelling,9095 Calle Barranca,Desert Hot Springs,CA,92240,No,CREST — Desert Hot Springs
638081017,9035 Calle Barranca,Desert Hot Springs,CA,92240,Single Family Dwelling,69805 20Th Ave,Desert Hot Springs,CA,92241,No,CREST — Desert Hot Springs
638081030,9175 Calle Escorial,Desert Hot Springs,CA,92240,Single Family Dwelling,9175 Calle Escorial,Desert Hot Springs,CA,92240,No,CREST — Desert Hot Springs
638081031,9145 Calle Escorial,Desert Hot Springs,CA,92240,Single Family Dwelling,9145 Calle Escorial,Desert Hot Springs,CA,92240,No,CREST — Desert Hot Springs
638081032,9123 Calle Escorial,Desert Hot Springs,CA,92240,Single Family Dwelling,9123 Calle Escorial,Desert Hot Springs,CA,92240,No,CREST — Desert Hot Springs
638081002,9030 West Dr,Desert Hot Springs,CA,92240,Single Family Dwelling,9030 West Dr,Desert Hot Springs,CA,92240,No,CREST — Desert Hot Springs
638081007,9180 West Dr,Desert Hot Springs,CA,92240,Single Family Dwelling,9180 West Dr,Desert Hot Springs,CA,92240,No,CREST — Desert Hot Springs
638081010,66030 Avenida Jalisco,Desert Hot Springs,CA,92240,Single Family Dwelling,1546 N Marine Ave,Wilmington,CA,90744,Yes,CREST — Desert Hot Springs
638081035,9035 Calle Escorial,Desert Hot Springs,CA,92240,Single Family Dwelling,9035 Calle Escorial,Desert Hot Springs,CA,92240,No,CREST — Desert Hot Springs
638081036,9011 Calle Escorial,Desert Hot Springs,CA,92240,Single Family Dwelling,9011 Calle Escorial,Desert Hot Springs,CA,92240,No,CREST — Desert Hot Springs
638081038,9010 Calle Escorial,Desert Hot Springs,CA,92240,Single Family Dwelling,9010 Calle Escorial,Desert Hot Springs,CA,92240,No,CREST — Desert Hot Springs
638081039,9030 Calle Escorial,Desert Hot Springs,CA,92240,Single Family Dwelling,9030 Calle Escorial,Desert Hot Springs,CA,92240,No,CREST — Desert Hot Springs
638081043,9180 Calle Escorial,Desert Hot Springs,CA,92240,Single Family Dwelling,9180 Calle Escorial,Desert Hot Springs,CA,92240,No,CREST — Desert Hot Springs
638082002,9300 Calle Escorial,Desert Hot Springs,CA,92240,Single Family Dwelling,9300 Calle Escorial,Desert Hot Springs,CA,92240,No,CREST — Desert Hot Springs
638082009,9490 Calle Escorial,Desert Hot Springs,CA,92240,Single Family Dwelling,66378 Buena Vista Ave,Desert Hot Springs,CA,92240,No,CREST — Desert Hot Springs
638083001,9275 Calle Escorial,Desert Hot Springs,CA,92240,Single Family Dwelling,9275 Calle Escorial,Desert Hot Springs,CA,92240,No,CREST — Desert Hot Springs
638083004,9365 Calle Escorial,Desert Hot Springs,CA,92240,Single Family Dwelling,9365 Calle Escorial,Desert Hot Springs,CA,92240,No,CREST — Desert Hot Springs
638083005,9395 Calle Escoral,Desert Hot Springs,CA,92240,Single Family Dwelling,9395 Calle Escorial,Desert Hot Spgs,CA,92240,Yes,CREST — Desert Hot Springs
638083006,9425 Calle Escorial,Desert Hot Springs,CA,92240,Single Family Dwelling,1801 California St Ste 800,Denver,CO,80202,Yes,CREST — Desert Hot Springs
638083008,9475 Calle Escorial,Desert Hot Springs,CA,92240,Single Family Dwelling,31772 Canyon Estates Dr,Lake Elsinore,CA,92532,Yes,CREST — Desert Hot Springs
