apn,address,city,state,zip,property_type,mail_address,mail_city,mail_state,mail_zip,is_absentee,source
604233013,78820 Nolan Cir,Palm Desert,CA,92260,Single Family Dwelling,78820 Nolan Cir,La Quinta,CA,92253,Yes,CREST — Palm Desert
607322020,79260 Spalding Dr,Palm Desert,CA,92260,Single Family Dwelling,79260 Spalding Dr,Bermuda Dunes,CA,92203,Yes,CREST — Palm Desert
609040021,78050 Hidden River Rd,Palm Desert,CA,92260,Apartment 41 - 60 Units,3763 Arlington Ave No 202,Riverside,CA,92506,Yes,CREST — Palm Desert
609152008,78990 Starlight Ln,Palm Desert,CA,92260,Single Family Dwelling,Po Box 11493,Zephyr Cove,NV,89448,Yes,CREST — Palm Desert
609272015,79085 Montego Bay Dr,Palm Desert,CA,92260,Single Family Dwelling,1362 Galaxy Dr,Newport Beach,CA,92660,Yes,CREST — Palm Desert
620121016,73750 Country Club Dr,Palm Desert,CA,92260,Vacant Residential Land - Other,73750 Country Club Dr,Palm Desert,CA,92260,No,CREST — Palm Desert
620151034,73750 Country Club Dr,Palm Desert,CA,92260,Vacant Residential Land - Other,73750 Country Club Dr,Palm Desert,CA,92260,No,CREST — Palm Desert
620180012,73750 Country Club Dr,Palm Desert,CA,92260,Vacant Residential Land - Other,73750 Country Club Dr,Palm Desert,CA,92260,No,CREST — Palm Desert
620211010,73750 Country Club Dr,Palm Desert,CA,92260,Vacant Residential Land - Other,73750 Country Club Dr,Palm Desert,CA,92260,No,CREST — Palm Desert
620211047,73750 Country Club Dr,Palm Desert,CA,92260,Vacant Residential Land - Other,73750 Country Club Dr,Palm Desert,CA,92260,No,CREST — Palm Desert
620232030,73750 Country Club Dr,Palm Desert,CA,92260,Vacant Residential Land - Other,73750 Country Club Dr,Palm Desert,CA,92260,No,CREST — Palm Desert
620234026,73750 Country Club Dr,Palm Desert,CA,92260,Vacant Residential Land - Other,73750 Country Club Dr,Palm Desert,CA,92260,No,CREST — Palm Desert
620251039,73750 Country Club Dr,Palm Desert,CA,92260,Vacant Residential Land - Other,73750 Country Club Dr,Palm Desert,CA,92260,No,CREST — Palm Desert
620252066,73750 Country Club Dr,Palm Desert,CA,92260,Vacant Residential Land - Other,73750 Country Club Dr,Palm Desert,CA,92260,No,CREST — Palm Desert
620220042,73750 Country Club Dr,Palm Desert,CA,92260,Vacant Residential Land - Other,73750 Country Club Dr,Palm Desert,CA,92260,No,CREST — Palm Desert
620262014,73750 Country Club Dr,Palm Desert,CA,92260,Vacant Residential Land - Other,73750 Country Club Dr,Palm Desert,CA,92260,No,CREST — Palm Desert
620211049,73750 Country Club Dr,Palm Desert,CA,92260,Vacant Residential Land - Other,73750 Country Club Dr,Palm Desert,CA,92260,No,CREST — Palm Desert
620220001,73750 Country Club Dr,Palm Desert,CA,92260,Vacant Residential Land - Other,73750 Country Club Dr,Palm Desert,CA,92260,No,CREST — Palm Desert
620242054,73750 Country Club Dr,Palm Desert,CA,92260,Vacant Residential Land - Other,73750 Country Club Dr,Palm Desert,CA,92260,No,CREST — Palm Desert
620261049,73750 Country Club Dr,Palm Desert,CA,92260,Vacant Residential Land - Other,73750 Country Club Dr,Palm Desert,CA,92260,No,CREST — Palm Desert
620261050,73750 Country Club Dr,Palm Desert,CA,92260,Vacant Residential Land - Other,73750 Country Club Dr,Palm Desert,CA,92260,No,CREST — Palm Desert
620272046,39709 Reche Ln,Palm Desert,CA,92260,Vacant Residential Land - Other,P O Box 1058,Coachella,CA,92236,Yes,CREST — Palm Desert
620270014,73750 Country Club Dr,Palm Desert,CA,92260,Vacant Residential Land - Other,73750 Country Club Dr,Palm Desert,CA,92260,No,CREST — Palm Desert
620241026,73750 Country Club Dr,Palm Desert,CA,92260,Vacant Residential Land - Other,73750 Country Club Dr,Palm Desert,CA,92260,No,CREST — Palm Desert
620300055,73750 Country Club Dr,Palm Desert,CA,92260,Vacant Residential Land - Other,73750 Country Club Dr,Palm Desert,CA,92260,No,CREST — Palm Desert
620241027,73750 Country Club Dr,Palm Desert,CA,92260,Vacant Residential Land - Other,73750 Country Club Dr,Palm Desert,CA,92260,No,CREST — Palm Desert
620283013,73750 Country Club Dr,Palm Desert,CA,92260,Vacant Residential Land - Other,73750 Country Club Dr,Palm Desert,CA,92260,No,CREST — Palm Desert
620251038,73750 Country Club Dr,Palm Desert,CA,92260,Vacant Residential Land - Other,73750 Country Club Dr,Palm Desert,CA,92260,No,CREST — Palm Desert
620293030,73750 Country Club Dr,Palm Desert,CA,92260,Vacant Residential Land - Other,73750 Country Club Dr,Palm Desert,CA,92260,No,CREST — Palm Desert
620313033,73750 Country Club Dr,Palm Desert,CA,92260,Vacant Residential Land - Other,73750 Country Club Dr,Palm Desert,CA,92260,No,CREST — Palm Desert
620252065,73750 Country Club Dr,Palm Desert,CA,92260,Vacant Residential Land - Other,73750 Country Club Dr,Palm Desert,CA,92260,No,CREST — Palm Desert
620321046,73750 Country Club Dr,Palm Desert,CA,92260,Vacant Residential Land - Other,73750 Country Club Dr,Palm Desert,CA,92260,No,CREST — Palm Desert
620351002,24 Covington Dr,Palm Desert,CA,92211,Single Family Dwelling,6206 Ne 138 Pl,Kirkland,WA,98034,Yes,CREST — Palm Desert
620351003,22 Covington Dr,Palm Desert,CA,92260,Single Family Dwelling,22 Covington Drive,Palm Desert,CA,92260,No,CREST — Palm Desert
620351004,20 Covington Dr,Palm Desert,CA,92260,Single Family Dwelling,20 Covington Dr,Palm Desert,CA,92260,No,CREST — Palm Desert
620352002,25 Covington Dr,Palm Desert,CA,92260,Single Family Dwelling,75180 Chippewa Dr,Indian Wells,CA,92210,Yes,CREST — Palm Desert
620352005,19 Covington Dr,Palm Desert,CA,92260,Single Family Dwelling,19 Covington Dr,Palm Desert,CA,92260,No,CREST — Palm Desert
620352007,18 Taylor Ave,Palm Desert,CA,92260,Single Family Dwelling,18 Taylor Ave,Palm Desert,CA,92260,No,CREST — Palm Desert
620353002,4 Brentwood Way,Palm Desert,CA,92260,Single Family Dwelling,4 Brentwood Way,Palm Desert,CA,92260,No,CREST — Palm Desert
620353007,3 Taylor Ave,Palm Desert,CA,92260,Single Family Dwelling,P O Box 13,Mercer Island,WA,98040,Yes,CREST — Palm Desert
620353013,15 Taylor Ave,Palm Desert,CA,92260,Single Family Dwelling,9105 Matthews Ave Ne,Seattle,WA,98115,Yes,CREST — Palm Desert
