apn,address,city,state,zip,property_type,mail_address,mail_city,mail_state,mail_zip,is_absentee,source
670450029,28 Via Del Maricale,Rancho Mirage,CA,92270,Single Family Dwelling,1720 Maple Ave # 2160,Evanston,IL,60201,Yes,CREST — Rancho Mirage
670450038,12 Via Del Paradiso,Rancho Mirage,CA,92270,Single Family Dwelling,1058 Wascana Higlands,Regina Sk Canada,,,Yes,CREST — Rancho Mirage
670460001,135 Via Solaro,Rancho Mirage,CA,92270,Single Family Dwelling,1493 Montana Serena Ct,El Cajon,CA,92021,Yes,CREST — Rancho Mirage
670460002,137 Via Solaro,Rancho Mirage,CA,92270,Single Family Dwelling,6118 Braemar Ct,Agoura Hills,CA,91301,Yes,CREST — Rancho Mirage
670460006,145 Via Solaro,Rancho Mirage,CA,92270,Single Family Dwelling,167 Wikil Pl,Palm Desert,CA,92260,Yes,CREST — Rancho Mirage
670460011,155 Via Siena,Rancho Mirage,CA,92270,Single Family Dwelling,27030 Daisy Cir,Yorba Linda,CA,92887,Yes,CREST — Rancho Mirage
670460019,166 Via Martelli,Rancho Mirage,CA,92270,Single Family Dwelling,6851 Xana Way,Carlsbad,CA,92009,Yes,CREST — Rancho Mirage
670460028,164 Via Milano,Rancho Mirage,CA,92270,Single Family Dwelling,2828 Edison St Unit 19,San Mateo,CA,94403,Yes,CREST — Rancho Mirage
670460033,169 Via Milano,Rancho Mirage,CA,92270,Single Family Dwelling,563 N Hunt Cir,Placentia,CA,92870,Yes,CREST — Rancho Mirage
670460077,186 Via San Lucia,Rancho Mirage,CA,92270,Single Family Dwelling,5917 Speyside Rd,Riverside,CA,92507,Yes,CREST — Rancho Mirage
670470007,96 Via San Marco,Rancho Mirage,CA,92270,Single Family Dwelling,1506 E Orange Grove Ave,Orange,CA,92867,Yes,CREST — Rancho Mirage
670470023,74 Via Del Mercato,Rancho Mirage,CA,92270,Single Family Dwelling,5958 Fremont Cir,Camarillo,CA,93010,Yes,CREST — Rancho Mirage
670470035,63 Via Del Pienza,Rancho Mirage,CA,92270,Single Family Dwelling,5062 Calatrana Dr,Woodland Hills,CA,91364,Yes,CREST — Rancho Mirage
670480022,179 Via Milano,Rancho Mirage,CA,92270,Single Family Dwelling,521 Se Arcadia Shores,Shelton,WA,98584,Yes,CREST — Rancho Mirage
670480038,241 Via Martelli,Rancho Mirage,CA,92270,Single Family Dwelling,38 Via Paradiso,Henderson,NV,89011,Yes,CREST — Rancho Mirage
670480042,249 Via Martelli,Rancho Mirage,CA,92270,Single Family Dwelling,11716 Ridgegate Dr,Whittier,CA,90601,Yes,CREST — Rancho Mirage
670480073,249 Via San Lucia,Rancho Mirage,CA,92270,Single Family Dwelling,51 Raft Island Dr Nw,Gig Harbor,WA,98335,Yes,CREST — Rancho Mirage
670480074,251 Via San Lucia,Rancho Mirage,CA,92270,Single Family Dwelling,1702 Indian Ridge Dr,Woodstock,GA,30189,Yes,CREST — Rancho Mirage
670480076,248 Via Martelli,Rancho Mirage,CA,92270,Single Family Dwelling,16616 Lauren  Way,Encino,CA,91436,Yes,CREST — Rancho Mirage
670450012,51 Via Del Rossi,Rancho Mirage,CA,92270,Single Family Dwelling,7055 Divot  Dr,La Verne,CA,91750,Yes,CREST — Rancho Mirage
670450018,34 Via San Marco,Rancho Mirage,CA,92270,Single Family Dwelling,4322 Crescent Ave,Cypress,CA,90630,Yes,CREST — Rancho Mirage
670460004,141 Via Solaro,Rancho Mirage,CA,92270,Single Family Dwelling,23 Donovan,Irvine,CA,92620,Yes,CREST — Rancho Mirage
670460013,159 Via Siena,Rancho Mirage,CA,92270,Single Family Dwelling,6622 38Th Ave Sw,Seattle,WA,98126,Yes,CREST — Rancho Mirage
670460015,158 Via Martelli,Rancho Mirage,CA,92270,Single Family Dwelling,9 15875 Marine Dr,Whiterock Bc Canada,,,Yes,CREST — Rancho Mirage
670450013,53 Via Del Rossi,Rancho Mirage,CA,92270,Single Family Dwelling,1729 Del Lago,Yuba City,CA,95991,Yes,CREST — Rancho Mirage
670450014,55 Via Del Rossi,Rancho Mirage,CA,92270,Single Family Dwelling,109 Boxwood  Dr,San Rafael,CA,94903,Yes,CREST — Rancho Mirage
670450028,26 Via Del Maricale,Rancho Mirage,CA,92270,Single Family Dwelling,203 Rainbow Dr No 10391,Livingston,TX,77399,Yes,CREST — Rancho Mirage
670450031,32 Via Del Maricale,Rancho Mirage,CA,92270,Single Family Dwelling,10329 Palms Blv No 604,Los Angeles,CA,90034,Yes,CREST — Rancho Mirage
670450034,29 Via Del Maricale,Rancho Mirage,CA,92270,Single Family Dwelling,27 Wrangler Ct,Trabuco Canyon,CA,92679,Yes,CREST — Rancho Mirage
670460012,157 Via Siena,Rancho Mirage,CA,92270,Single Family Dwelling,3195 Mataro St,Pasadena,CA,91107,Yes,CREST — Rancho Mirage
670460034,167 Via Milano,Rancho Mirage,CA,92270,Single Family Dwelling,253880 Westminster  Hwy,Richmond Bc V7C5S1,,,Yes,CREST — Rancho Mirage
670460067,191 Via San Lucia,Rancho Mirage,CA,92270,Single Family Dwelling,80 Striper  Ln,East Falmouth,MA,02536,Yes,CREST — Rancho Mirage
670470005,131 Via Tuscany,Rancho Mirage,CA,92270,Single Family Dwelling,13609 Chandler Blvd,Sherman Oaks,CA,91401,Yes,CREST — Rancho Mirage
670470042,104 Via Del Signoria,Rancho Mirage,CA,92270,Single Family Dwelling,10970 Baton Rouge Ave,Porter Ranch,CA,91326,Yes,CREST — Rancho Mirage
670470051,134 Via Tuscany,Rancho Mirage,CA,92270,Single Family Dwelling,1710 W Foothill Blvd Ste B1,Upland,CA,91786,Yes,CREST — Rancho Mirage
670460023,169 Via Martelli,Rancho Mirage,CA,92270,Single Family Dwelling,733 Amsterdam Ave Apt 3F,New York,NY,10025,Yes,CREST — Rancho Mirage
670460050,224 Via Firenza,Rancho Mirage,CA,92270,Single Family Dwelling,17 Veneto,Newport Beach,CA,92657,Yes,CREST — Rancho Mirage
670460051,220 Via Firenza,Rancho Mirage,CA,92270,Single Family Dwelling,12 Saratoga,Trabuco Canyon,CA,92679,Yes,CREST — Rancho Mirage
670460056,210 Via Firenza,Rancho Mirage,CA,92270,Single Family Dwelling,7002 Calhoun Ave,Van Nuys,CA,91405,Yes,CREST — Rancho Mirage
670480012,122 Via Solaro,Rancho Mirage,CA,92270,Single Family Dwelling,5495 232Nd St,Langley Bc V2Z2P8,,,Yes,CREST — Rancho Mirage
670480020,175 Via Milano,Rancho Mirage,CA,92270,Single Family Dwelling,3201 Silver Saddle Dr,Lake Havasu City,AZ,86406,Yes,CREST — Rancho Mirage
670480021,177 Via Milano,Rancho Mirage,CA,92270,Single Family Dwelling,10301 Pocket Lake Rd,Lowry,MN,56349,Yes,CREST — Rancho Mirage
670450001,23 Via Del Paradiso,Rancho Mirage,CA,92270,Single Family Dwelling,4322 Cresent Ave,Cypress,CA,90630,Yes,CREST — Rancho Mirage
670450019,36 Via San Marco,Rancho Mirage,CA,92270,Single Family Dwelling,5627 Sw Miles Ct,Portland,OR,97219,Yes,CREST — Rancho Mirage
670450024,41 Via San Marco,Rancho Mirage,CA,92270,Single Family Dwelling,17721 Sybrandy Ave,Cerritos,CA,90703,Yes,CREST — Rancho Mirage
670480030,184 Via Milano,Rancho Mirage,CA,92270,Single Family Dwelling,Po Box 662,Arlington,WA,98223,Yes,CREST — Rancho Mirage
670480041,247 Via Martelli,Rancho Mirage,CA,92270,Single Family Dwelling,3201 Silver Saddle Dr,Lake Havasu City,AZ,86406,Yes,CREST — Rancho Mirage
670460068,193 Via San Lucia,Rancho Mirage,CA,92270,Single Family Dwelling,1403 Garfield Ave,South Pasadena,CA,91030,Yes,CREST — Rancho Mirage
670460071,198 Via San Lucia,Rancho Mirage,CA,92270,Single Family Dwelling,156 Dundee Rd,Wheeling,IL,60090,Yes,CREST — Rancho Mirage
670460074,192 Via San Lucia,Rancho Mirage,CA,92270,Single Family Dwelling,1156 Norumbega Dr,Monrovia,CA,91016,Yes,CREST — Rancho Mirage
670460078,207 Via Firenza,Rancho Mirage,CA,92270,Single Family Dwelling,78601 Kentia Palm Dr,Palm Desert,CA,92211,Yes,CREST — Rancho Mirage
670460084,221 Via Firenza,Rancho Mirage,CA,92270,Single Family Dwelling,Po Box 71505,Fairbanks,AK,99707,Yes,CREST — Rancho Mirage
670470004,129 Via Tuscany,Rancho Mirage,CA,92270,Single Family Dwelling,8421 Westmoreland Ln,Minneapolis,MN,55426,Yes,CREST — Rancho Mirage
670470008,94 Via San Marco,Rancho Mirage,CA,92270,Single Family Dwelling,3330 Kirkham St,San Francisco,CA,94122,Yes,CREST — Rancho Mirage
670470009,92 Via San Marco,Rancho Mirage,CA,92270,Single Family Dwelling,13546 La Jolla Cir # G209,La Mirada,CA,90638,Yes,CREST — Rancho Mirage
670470031,68 Via Del Pienza,Rancho Mirage,CA,92270,Single Family Dwelling,211 N Isabel St Apt 9,Glendale,CA,91206,Yes,CREST — Rancho Mirage
